anio,edad_mujer_grupo,edad_hombre_grupo,valor
2013,60 y más,50-54,5
2013,60 y más,55-59,2
2013,60 y más,60 y más,15
2013,60 y más,Ignorado,7
2013,60 y más,Menos de 15,0
2013,Ignorado,15-19,0
2013,Ignorado,20-24,1
2013,Ignorado,25-29,21
2013,Ignorado,30-34,66
2013,Ignorado,35-39,52
2013,Ignorado,40-44,35
2013,Ignorado,45-49,31
2013,Ignorado,50-54,26
2013,Ignorado,55-59,13
2013,Ignorado,60 y más,19
2013,Ignorado,Ignorado,3248
2013,Ignorado,Menos de 15,0
2013,Menos de 15,15-19,0
2013,Menos de 15,20-24,0
2013,Menos de 15,25-29,0
2013,Menos de 15,30-34,0
2013,Menos de 15,35-39,0
2013,Menos de 15,40-44,0
2013,Menos de 15,45-49,0
2013,Menos de 15,50-54,0
2013,Menos de 15,55-59,0
2013,Menos de 15,60 y más,0
2013,Menos de 15,Ignorado,0
2013,Menos de 15,Menos de 15,0
2014,15 - 19,15-19,9
2014,15 - 19,20-24,53
2014,15 - 19,25-29,29
2014,15 - 19,30-34,12
2014,15 - 19,35-39,2
2014,15 - 19,40-44,0
2014,15 - 19,45-49,0
2014,15 - 19,50-54,0
2014,15 - 19,55-59,0
2014,15 - 19,60 y más,0
2014,15 - 19,Ignorado,2
2014,15 - 19,Menos de 15,0
2014,20 - 24,15-19,3
2014,20 - 24,20-24,138
2014,20 - 24,25-29,191
2014,20 - 24,30-34,63
2014,20 - 24,35-39,20
2014,20 - 24,40-44,8
2014,20 - 24,45-49,2
2014,20 - 24,50-54,0
2014,20 - 24,55-59,0
2014,20 - 24,60 y más,0
2014,20 - 24,Ignorado,22
2014,20 - 24,Menos de 15,0
2014,25 - 29,15-19,0
2014,25 - 29,20-24,40
2014,25 - 29,25-29,219
2014,25 - 29,30-34,162
2014,25 - 29,35-39,63
2014,25 - 29,40-44,15
2014,25 - 29,45-49,8
2014,25 - 29,50-54,1
2014,25 - 29,55-59,2
2014,25 - 29,60 y más,1
2014,25 - 29,Ignorado,43
2014,25 - 29,Menos de 15,0
2014,30 - 34,15-19,0
2014,30 - 34,20-24,3
2014,30 - 34,25-29,37
2014,30 - 34,30-34,166
2014,30 - 34,35-39,110
2014,30 - 34,40-44,34
2014,30 - 34,45-49,8
2014,30 - 34,50-54,6
2014,30 - 34,55-59,4
2014,30 - 34,60 y más,1
2014,30 - 34,Ignorado,74
2014,30 - 34,Menos de 15,0
2014,35 - 39,15-19,0
2014,35 - 39,20-24,3
2014,35 - 39,25-29,11
2014,35 - 39,30-34,34
2014,35 - 39,35-39,107
2014,35 - 39,40-44,73
2014,35 - 39,45-49,19
2014,35 - 39,50-54,14
2014,35 - 39,55-59,3
2014,35 - 39,60 y más,5
2014,35 - 39,Ignorado,46
2014,35 - 39,Menos de 15,0
2014,40 - 44,15-19,0
2014,40 - 44,20-24,0
2014,40 - 44,25-29,0
2014,40 - 44,30-34,5
2014,40 - 44,35-39,28
2014,40 - 44,40-44,37
2014,40 - 44,45-49,57
2014,40 - 44,50-54,13
2014,40 - 44,55-59,3
2014,40 - 44,60 y más,2
2014,40 - 44,Ignorado,33
2014,40 - 44,Menos de 15,0
2014,45 - 49,15-19,0
2014,45 - 49,20-24,0
2014,45 - 49,25-29,2
2014,45 - 49,30-34,1
2014,45 - 49,35-39,1
2014,45 - 49,40-44,13
2014,45 - 49,45-49,37
2014,45 - 49,50-54,25
2014,45 - 49,55-59,2
2014,45 - 49,60 y más,7
2014,45 - 49,Ignorado,33
2014,45 - 49,Menos de 15,0
2014,50 - 54,15-19,0
2014,50 - 54,20-24,1
2014,50 - 54,25-29,0
2014,50 - 54,30-34,1
2014,50 - 54,35-39,1
2014,50 - 54,40-44,4
2014,50 - 54,45-49,7
2014,50 - 54,50-54,17
2014,50 - 54,55-59,15
2014,50 - 54,60 y más,14
2014,50 - 54,Ignorado,14
2014,50 - 54,Menos de 15,0
2014,55 - 59,15-19,0
2014,55 - 59,20-24,0
